,price,living_rooms,bedrooms,bathrooms,town_city,outward_code,property_type,tags
727,6045.0,1.0,3.0,2.0,London,W2,flat,none
728,5655.0,1.0,2.0,2.0,London,NW1,flat,modern
729,5655.0,1.0,2.0,1.0,London,NW1,flat,modern
730,5645.0,1.0,1.0,1.0,London,EC4A,flat,furnished
731,5640.0,1.0,1.0,1.0,London,SW7,flat,furnished
732,5638.0,1.0,1.0,1.0,London,W2,flat,furnished
733,5633.0,1.0,1.0,1.0,London,W8,flat,short let
734,5634.0,2.0,3.0,2.0,London,NW1,flat,short let
735,5633.0,1.0,3.0,2.0,London,W1K,flat,refurbished
736,5633.0,1.0,3.0,2.0,London,SW1P,flat,none
737,5633.0,1.0,2.0,2.0,London,WC2A,flat,none
738,5633.0,1.0,3.0,3.0,London,NW8,flat,located
739,5633.0,1.0,3.0,2.0,London,NW8,flat,modern
740,5633.0,1.0,1.0,1.0,London,W11,flat,none
741,5633.0,4.0,7.0,3.0,London,NW4,detached house,furnished
742,5633.0,2.0,7.0,4.0,London,NW4,detached house,family
743,5417.0,1.0,3.0,2.0,London,SW1X,flat,spacious
744,5417.0,1.0,2.0,2.0,London,SW1P,flat,furnished
745,5417.0,1.0,3.0,3.0,London,W2,flat,none
746,5417.0,1.0,2.0,1.0,London,EC4M,flat,furnished
747,5417.0,1.0,3.0,2.0,London,SE1,flat,none
748,5416.0,1.0,2.0,2.0,London,NW1,flat,located
749,5417.0,1.0,3.0,2.0,London,W2,flat,none
750,5417.0,1.0,2.0,2.0,London,NW1,flat,spacious
751,5417.0,2.0,2.0,2.0,London,W9,flat,none
752,5417.0,1.0,2.0,2.0,London,SW1W,maisonette,garden
753,5417.0,1.0,2.0,2.0,London,WC2E,flat,garden
754,5417.0,1.0,3.0,2.0,London,SW3,flat,none
755,5417.0,1.0,2.0,2.0,London,NW1,property,spacious
756,5417.0,1.0,3.0,2.0,London,NW8,flat,spacious
757,5417.0,1.0,1.0,1.0,London,SW7,flat,refurbished
758,5417.0,1.0,2.0,2.0,London,W8,flat,garden
759,5417.0,2.0,2.0,2.0,London,W8,flat,located
760,5200.0,1.0,2.0,2.0,London,W8,flat,garden
761,5200.0,1.0,1.0,1.0,London,SW7,flat,none
762,5200.0,1.0,3.0,2.0,London,W2,flat,refurbished
763,5200.0,1.0,3.0,3.0,London,EC1V,flat,none
764,5200.0,1.0,2.0,2.0,London,SW7,flat,none
765,5200.0,2.0,3.0,2.0,London,W1J,flat,spacious
766,5200.0,1.0,2.0,2.0,London,NW8,flat,located
767,5200.0,1.0,3.0,2.0,London,W14,flat,spacious
768,5200.0,1.0,2.0,2.0,London,SW10,flat,short let
769,5200.0,1.0,2.0,2.0,London,W8,flat,none
770,5200.0,1.0,4.0,3.0,London,W14,flat,none
771,5200.0,1.0,3.0,2.0,London,NW3,flat,none
772,5200.0,1.0,3.0,2.0,London,W8,flat,furnished
773,5200.0,1.0,3.0,3.0,London,NW8,end terrace house,garden
774,5200.0,2.0,2.0,2.0,London,SW6,flat,located
775,5200.0,1.0,3.0,2.0,London,W2,flat,garden
776,5000.0,1.0,5.0,3.0,East,BN3,flat,modern
777,5000.0,1.0,2.0,2.0,Richmond TW10,TW10,flat,none
778,5000.0,1.0,8.0,8.0,Coventry,CV4,terraced house,furnished
779,5000.0,2.0,1.0,1.0,London,W1D,flat,furnished
780,5000.0,1.0,2.0,1.0,London,WC1A,flat,furnished
781,5000.0,1.0,2.0,2.0,Berkshire,SL5,flat,none
782,5000.0,3.0,6.0,4.0,London,E14,end terrace house,furnished
783,5000.0,1.0,6.0,6.0,Oxford OX2,OX2,terraced house,ready
784,5000.0,3.0,3.0,3.0,Henley-On-Thames,RG9,semi-detached house,none
785,5000.0,2.0,4.0,3.0,London,W14,flat,spacious
786,5000.0,1.0,2.0,2.0,London,WC2A,flat,none
787,5000.0,1.0,3.0,2.0,London,E20,duplex,garden
788,5000.0,4.0,8.0,3.0,London,W5,detached house,family
789,5000.0,3.0,4.0,2.0,Buckinghamshire,SL2,detached house,family
790,5000.0,1.0,1.0,1.0,London,SW1W,flat,serviced
791,5000.0,4.0,8.0,6.0,London,NW10,detached house,family
792,4793.0,1.0,3.0,2.0,London,W2,flat,spacious
793,4784.0,1.0,8.0,2.0,Brighton,BN2,semi-detached house,student
794,4784.0,1.0,8.0,3.0,Brighton,BN2,semi-detached house,renovated
795,4775.0,1.0,2.0,2.0,London,W2,flat,none
796,4775.0,1.0,2.0,2.0,London,W2,flat,spacious
797,4775.0,1.0,2.0,2.0,London,W2,flat,none
798,4776.0,1.0,1.0,1.0,London,EC1V,flat,furnished
799,4771.0,1.0,2.0,2.0,London,W2,flat,none
800,4771.0,1.0,2.0,2.0,London,W2,flat,none
801,4771.0,1.0,2.0,1.0,London,W2,flat,none
802,4771.0,1.0,2.0,1.0,London,W2,flat,none
803,4771.0,1.0,2.0,2.0,London,W2,flat,none
804,4771.0,1.0,2.0,2.0,London,W2,flat,located
