,price,living_rooms,bedrooms,bathrooms,town_city,outward_code,property_type,desc
477,21667.0,4.0,4.0,4.0,London,SW1W,property,a stunning  bedroom family home in belgravia location a well presented family house in this popular belgravia street moments from vibrant elizabeth street with its speciality shops cafes
478,21667.0,2.0,2.0,2.0,London,SW1E,flat,this impressive apartment situated on the second floor comprises a large double reception room dining room kitchen with terrace master bedroom suite with terrace a further bedroom suite
479,21667.0,1.0,3.0,2.0,London,SW7,flat,our threebedroom residences have spacious layouts that are perfect for business travellers with family members who desire the exclusivity of private terraces or balconies each enjoys
480,21667.0,1.0,4.0,3.0,London,SW1A,flat,we are pleased to offer this spacious four bedroom penthouse apartment with lift situated in a well maintained portered building in st james conveniently located next to green park the
481,21667.0,4.0,4.0,4.0,London,SW1A,flat,four bedroom penthouse located in the heart of london moments from the ritz london uk sothebys international realty proudly presents a wonderful fourbedroom duplex penthouse apartment
482,21667.0,2.0,4.0,3.0,London,NW8,flat,short let a truly breathtaking  bedroom raised ground floor flat set within a highly desirable mansion block overlooking regents park and offering easy access to the excellent amenities
483,21667.0,1.0,3.0,3.0,London,W1K,maisonette,short let set across floors this exquisite and exceptional  bedroom maisonette features high ceilings and offers a generous living space with traditional touches that evoke a homely feel
484,21667.0,1.0,2.0,2.0,London,W1J,flat,a spacious  hours serviced apartment in the heart of mayfair sothebys international realty offer a spacious two bedroom serviced apartment on hertford street within this townhouse with all
485,21667.0,2.0,4.0,4.0,London,NW1,flat,this breathtaking  sq metre  bedroom  bathroom loft style apartment set in the heart of londons vibrant chalk farm with porter swimming pool gym and jacuzzi chappell lofts is the
486,21667.0,1.0,3.0,3.0,London,W14,flat,the property benefits from an extensive living space of  sqft and offers stunning panoramic views of london with over  sqft of terraces finished to the highest standards it has been wonderfully designed boasting three double bedrooms with
487,21667.0,1.0,4.0,4.0,London,SW1A,flat,video viewings available  a luxurious  sq foot five bedroom penthouse with extensive terraces overlooking green park with farreaching westerly views best in class property
488,21667.0,2.0,4.0,2.0,London,NW3,property,short let this palatial  bedroom house is offered fully furnished and fabulously appointed with stunning interiors that needs to be seen benefitting from easy access to hampstead high
489,21667.0,2.0,2.0,2.0,London,SW1E,flat,this impressive apartment situated on the second floor comprises a large double reception room dining room kitchen with terrace master bedroom suite with terrace a further bedroom suite
490,21667.0,1.0,3.0,3.0,London,W1K,maisonette,short let set across floors this exquisite and exceptional  bedroom maisonette features high ceilings and offers a generous living space with traditional touches that evoke a homely feel
491,21667.0,6.0,5.0,4.0,London,W8,property,a wonderful mid terrace  bedroom family home situated with a west facing garden to the rear both holland park and kensington gardens are close by as well as the excellent amenities of
492,21667.0,1.0,4.0,3.0,London,SW1A,flat,we are pleased to offer this spacious four bedroom penthouse apartment with lift situated in a well maintained portered building in st james conveniently located next to green park the
493,21667.0,2.0,4.0,3.0,London,NW8,flat,short let a truly breathtaking  bedroom raised ground floor flat set within a highly desirable mansion block overlooking regents park and offering easy access to the excellent amenities
494,21667.0,4.0,4.0,4.0,London,SW1A,flat,four bedroom penthouse located in the heart of london moments from the ritz london uk sothebys international realty proudly presents a wonderful fourbedroom duplex penthouse apartment
495,21667.0,1.0,3.0,3.0,London,N2,flat,a stunning and exclusive lateral apartment extending to approximately  sq ft the interior has been architecturally designed to optimise the natural light providing bright rooms with
496,21667.0,1.0,3.0,3.0,London,W8,flat,stylish third floor apartment in an exclusive development location hollandgreen is situated very much in the heart of kensington with a wealth of good local and high street shops near to
497,21667.0,1.0,3.0,2.0,London,SW7,flat,our threebedroom residences have spacious layouts that are perfect for business travellers with family members who desire the exclusivity of private terraces or balconies each enjoys
498,21667.0,2.0,4.0,4.0,London,W8,property,stunning four bedroom house which has just been redesigned and refurbished to an exacting standard with fabulous custom made furniture lift air conditioning and new parquet flooring
499,21645.0,1.0,4.0,3.0,London,WC2E,flat,please quote asp id  a sensational four bedroom apartment with lift access hour concierge and impressive views in the heart of covent garden this generously sized apartment
500,21645.0,2.0,4.0,3.0,London,WC2E,terraced house,a sensational four bedroom apartment with lift access hour concierge and impressive views in the heart of covent garden this generously sized first floor apartment presents a
501,21580.0,1.0,4.0,4.0,London,W8,flat,a selection of bright and well designed four bedroom apartments located in an elegant victorian style property opposite kensington gardens these london apartments are ideal for both families
502,21537.0,1.0,2.0,2.0,London,SW7,flat,short let serviced deluxe twobedroom apartment with relaxed décor and accessed via the quirky reception area which also hosts a friendly hour concierge desk has been uniquely designed
503,21537.0,1.0,2.0,3.0,London,W8,flat,short let serviced deluxe twobedroom apartments at the heart of royal kensingtons picturesque surroundings the fullyfitted kitchen is equipped with modern appliances a nespresso machine
504,21467.0,1.0,2.0,2.0,London,W1D,flat, ready for livingfully furnished beds and bedding linen cutlery towels wifiall inclusive from bills to a weekly cleanstaytotheday  no fixed contractsendtoend servicededicated
505,21450.0,2.0,5.0,5.0,London,SW1E,flat,an immaculately refurbished fivesix including staff accommodation bedroom penthouse available for rent in the heart of the newly regenerated victoria the penthouse is located on the
506,21450.0,2.0,5.0,4.0,London,SW1E,flat,with accommodation situated on the th  th floors this  square feet penthouse has been finished to a high standard and has an exceptional roof terrace giving far reaching views across london there is a large open plan living space on the th
507,21450.0,1.0,1.0,1.0,London,SW1X,flat,an exceptional one bedroom duplex apartment interior designed by candy  candy on the second floor southfacing city side of the landmark one hyde park development in the heart of
508,21450.0,3.0,5.0,5.0,London,SW1E,flat,an exceptional    bedroom penthouse apartment over  sq ft with remarkable views from every room  concierge roof terrace and garaged parking location the view is a landmark
509,21450.0,5.0,5.0,5.0,London,SW1E,flat,a unique  bedroom penthouse apartment available for rent in westminster the property is an immaculate duplex penthouse apartment with an outstanding roof terrace on the seventeenth floor of
510,21450.0,2.0,4.0,3.0,London,SW3,flat,a superb ground floor duplex apartment located in this super prime development in chelsea the property provides a large double reception room with french doors leading onto a spacious
511,21450.0,1.0,3.0,3.0,London,SW1X,flat,beautiful  bedroom penthouse apartment on the th floor of an exclusive block close to the charms of motcomb street a charming open plan reception room with terrace and conservatory the
512,21450.0,1.0,3.0,3.0,London,SW7,flat,an exceptional and unique first floor lateral apartment  sq ft in this stucco fronted period conversion overlooking beautifully maintained communal gardens this recently refurbished
513,21249.0,1.0,2.0,2.0,London,SW7,flat, ready for livingfully furnished beds and bedding linen cutlery towels wifiall inclusive from bills to a weekly cleanstaytotheday  no fixed contractsendtoend servicededicated
514,21233.0,2.0,3.0,3.0,London,W1K,flat,a modern newly refurbished  bedroom  bathroom nd floor apartment of approximately  sq ft sq m situated in this attractive refurbished period building in the heart of mayfair
515,21233.0,1.0,3.0,3.0,London,W1K,flat,remote video viewings available  a beautifully refurbished apartment situated in the heart of mayfair set over  sq ft the apartment is located on the st floor within a six storeys
516,21233.0,1.0,3.0,3.0,London,W1K,flat,stunning three bedroom lateral apartment that has been finished to the very highest of standards extending to approx  square feet in a discreet mayfair block with lift and day porter and
517,21233.0,1.0,2.0,3.0,London,SW7,flat,short let deluxe  bedroom penthouses sophisticated and chic awardwinning penthouse situated within walking distance of bustling brompton road and worldclass shopping views of
518,21233.0,1.0,3.0,3.0,London,W1K,flat,a superb threebedroom apartment which has been refurbished to the highest specification whilst maintaining its traditional features such as high ceilings throughout bay windows cornicing
519,21233.0,1.0,3.0,3.0,London,W1K,flat,a superb threebedroom apartment which has been refurbished to the highest specification location mayfair allows easy access to the rest of london nearby underground stations include bond
520,21233.0,1.0,4.0,3.0,London,W1K,flat,an immaculate wellpresented second floor apartment on the prestigious mount street set on two floors this elegant period property comprises four bedrooms with three bathrooms and a guest
521,21233.0,1.0,3.0,2.0,London,W1J,flat,luxury space and a stylish outdoor dining terrace this outstanding apartment has a large terrace with a barbecue and outside dining area recently refurbished it offers comfort tranquility
522,21233.0,3.0,3.0,4.0,London,SW1A,flat,an incredible penthouse apartment comprised of the stunning north tower and two smaller adjoining towers sitting atop whitehall court a beautiful grade ii listed mansion block complete with
523,21233.0,1.0,3.0,3.0,London,W1K,flat,a superb three bedroom apartment which has been refurbished to the highest specification whilst maintaining its traditional features such as high ceilings throughout bay windows cornicing
524,20150.0,1.0,3.0,2.0,London,W1J,flat,short let serviced  bedroom  bathroom apartment are situated in the heart of mayfair providing easy access to all that londons fabulous west end has to offer a period building and
525,19998.0,2.0,6.0,4.0,London,NW3,property,a unique and spectacular sixseven bedroom semidetached family home set back on an elevated position in this quiet and popular road in the heart of belsize park the internal accommodation
526,20000.0,2.0,5.0,4.0,London,SW19,detached house,available for short let is this sublime and unique farmhouse located in the heart of wimbledon common this historic farmhouse comprises five bedrooms four bathrooms three formal reception
527,20000.0,3.0,13.0,7.0,North,TA7,property,magnificent th century manor house set in  acres of stunning parkland and at the heart of a  acre estate close to the county town of taunton somerset comprising lakes woodlands
528,20000.0,5.0,7.0,7.0,Surrey KT16,KT16,detached house,a rare opportunity to acquire an architectural piece of history in impeccable condition set in award winning grounds with a magnificent modernist mansion designed in  by the architect
529,19933.0,4.0,6.0,6.0,London,NW3,property,located on one of the most exclusive culdesacs in the area a double fronted six bedroom detached period mansion which is set back from the road behind a gated six car carriage driveway and
530,19933.0,5.0,6.0,6.0,London,NW3,property,a six bedroom double fronted detached family home arranged over three floors and has incredible living space on the ground floor with five receptions the house has a driveway for fivesix
531,19933.0,4.0,6.0,4.0,London,NW3,detached house,an exquisite double fronted six bedroom period mansion set back from the quiet tree lined street with complete privacy from the sixseven carriage driveway this luxurious family home has
532,19933.0,3.0,6.0,6.0,London,NW3,detached house,a detached family house sqmsqft gated and set back from the road behind a carriage driveway and well positioned on this sought after and exclusive culdesac morris house fuses period charm with contemporary design and offers
533,19912.0,3.0,6.0,4.0,London,NW8,detached house,six bedroom detached house with garden and off street parking location despite being so close to central london st johns wood has retained a peaceful and village like quality that makes it
534,19890.0,2.0,6.0,3.0,London,NW8,detached house,a delightful fully detached and double fronted stucco period house which is low built and in a gothic style this property is offered for letting in superb condition throughout and boasts a
535,19890.0,1.0,5.0,5.0,London,NW8,detached house,superb five bedrooms gothic style detached house arranged over three floors in the heart of st johns wood the house comprises limestone floors with underfloor heating three elegant
536,21103.0,1.0,2.0,2.0,London,W1K,flat,interior designed two bedroom apartment available for short let situated in the heart of mayfair the apartment is able to sleep up to six adults the apartment comprises a two large
537,21017.0,1.0,4.0,4.0,London,SW7,flat,long let set overlooking hyde park this stunning apartment offers luxurious interiors throughout with fantastic double reception and main suite princes gate is a highly sought after and
538,20800.0,1.0,3.0,3.0,London,W1K,flat,a superb threebedroom apartment which has been refurbished to the highest specification whilst maintaining its traditional features such as high ceilings throughout bay windows cornicing
539,20800.0,4.0,5.0,4.0,London,W8,detached house,this beautiful family house is ideally situated on kensington gate a sought after and highly desirable street in kensington finished to a high standard the house offers excellent
540,20752.0,1.0,2.0,1.0,London,W2,flat, ready for livingfully furnished beds and bedding linen cutlery towels wifiall inclusive from bills to a weekly cleanstaytotheday  no fixed contractsendtoend servicededicated
541,20593.0,1.0,4.0,4.0,London,W9,flat, ready for livingfully furnished beds and bedding linen cutlery towels wifiall inclusive from bills to a weekly cleanstaytotheday  no fixed contractsendtoend servicededicated
542,20583.0,2.0,5.0,3.0,London,NW8,semi-detached house,a superb semi detached period house set on one of the finest and most sought after roads in the area the property is offered in superb order throughout and offers versatile family
543,20583.0,2.0,4.0,4.0,London,SW7,flat,a grand four bedroom apartment set over the third and fourth floor of a prestigious mansion block adjacent to the royal albert hall with private balcony offering an unobstructed view of hyde
544,20583.0,3.0,5.0,4.0,London,W11,terraced house,a beautiful five bedroom house is arranged over four floors with a fantastic southwesterly garden the house benefits from a beautiful kitchen and conservatory dining room a ground floor
545,20583.0,2.0,4.0,4.0,London,SW7,flat,a magnificent four bedroom apartment covering sq ft benefiting from two exceptional drawing rooms with uninterrupted views of hyde park this newly refurbished property is set on the
546,20578.0,1.0,2.0,2.0,London,W1F,duplex, ready for livingfully furnished beds and bedding linen cutlery towels wifiall inclusive from bills to a weekly cleanstaytotheday  no fixed contractsendtoend servicededicated
547,20537.0,1.0,4.0,2.0,London,SW3,town house, ready for livingfully furnished beds and bedding linen cutlery towels wifiall inclusive from bills to a weekly cleanstaytotheday  no fixed contractsendtoend servicededicated
548,20460.0,1.0,4.0,4.0,London,W1K,flat,short let  serviced apartment  minimum stay  month majestic mayfair penthouse close to oxford circus one of mayfairs finest and rarest penthouse residences the lift takes you up to the
549,20172.0,1.0,2.0,2.0,London,W1K,flat,short let interior features and finishes  layouts range from  to sqm  individually controlled airconditioning  fully fitted contemporary kitchen designed with fullsize oven and
550,17333.0,1.0,3.0,3.0,London,SW1A,flat,a stunning beautifully presented second floor apartment in a handsome building on st jamess street the apartment comprises three double bedrooms all with en suite bathrooms reception
551,17333.0,2.0,4.0,4.0,London,SW1W,property,a beautifully refurbished and decorated example of a belgravia home set on the southern end of eaton terrace and boasting an impressive private garden location eaton terrace runs in a south
552,17333.0,3.0,4.0,4.0,London,SW1W,terraced house,an exceptional belgravia townhouse impeccably designed to a very high standard and superbly located on much soughtafter eaton terrace with wellbalanced accommodation measuring
